job,file,COMPLETED_0:0,FAILED_1:0,OUT_OF_MEMORY_0:125,TIMEOUT_0:125,TIMEOUT_0:15
8699573,assign.c,1422,3789,17,0,97
8699574,between.c,376,1057,0,0,8
8699575,bmerge.c,703,1968,29,0,128
8699576,chmatch.c,149,515,0,0,16
8699577,cj.c,87,451,0,0,15
8699578,coalesce.c,232,838,0,0,12
8701576,dogroups.c,776,1990,1,0,72
8701577,fastmean.c,165,258,0,0,12
8701578,fcast.c,96,458,0,0,24
8701579,fifelse.c,364,1647,0,0,17
8701580,fmelt.c,810,2901,2,0,85
8701581,forder.c,2108,4994,28,0,79
8701582,frank.c,381,1028,0,0,49
8701583,fread.c,4371,7905,35,1,335
8701584,freadR.c,818,2355,0,0,150
8701585,frolladaptive.c,512,1659,0,0,13
8702155,froll.c,514,2028,0,0,10
8702156,frollR.c,217,1025,1,0,1
8702157,fsort.c,772,732,0,0,39
8702158,fwrite.c,1339,2770,0,0,35
8702159,fwriteR.c,290,665,0,0,4
8702160,gsumm.c,1807,5686,2,0,79
8702161,idatetime.c,111,878,0,0,7
8702162,ijoin.c,1273,3161,11,0,127
8702163,init.c,962,652,0,0,2
8702164,inrange.c,6,53,0,0,4
8702165,nafill.c,256,958,4,0,2
8702166,negate.c,19,22,0,0,2
8702167,nqrecreateindices.c,29,137,2,0,4
8702168,openmp-utils.c,341,229,0,0,0
8702169,programming.c,16,66,0,0,6
8702170,quickselect.c,39,274,0,0,14
8702171,rbindlist.c,803,2799,1,0,55
8702172,reorder.c,112,549,0,0,7
8702173,shift.c,285,1177,0,0,0
8702174,snprintf.c,584,749,0,0,44
8702175,subset.c,430,1274,0,0,21
8702176,transpose.c,73,398,0,0,12
8702177,types.c,166,498,0,0,0
8702178,uniqlist.c,532,1405,9,0,8
8702179,utils.c,336,946,2,0,32
8702180,vecseq.c,48,115,0,0,0
8702181,wrappers.c,147,246,5,0,4
8818633,AllS4.R,2,43,0,0,0
8818684,as.data.table.R,233,762,0,0,0
8819685,between.R,73,414,0,0,0
8820177,bmerge.R,132,687,0,0,0
8820996,cedta.R,120,76,0,0,0
8821666,data.table.R,2675,10333,3,0,5
8824337,devel.R,258,11,0,0,0
8825096,duplicated.R,77,278,0,0,0
8830052,fcast.R,134,760,0,0,0
8830576,fdroplevels.R,19,90,0,0,0
8833674,fmelt.R,129,643,0,0,0
8837427,foverlaps.R,307,1121,0,0,0
8838887,frank.R,57,352,0,0,0
8839465,fread.R,738,1124,0,0,0
8841168,froll.R,27,109,0,0,0
8841541,fwrite.R,253,417,0,0,0
8842212,getdots.R,2,20,0,0,0
8842267,groupingsets.R,65,404,0,0,0
8842937,IDateTime.R,180,1232,0,0,0
8844392,last.R,174,118,0,0,0
8844689,like.R,12,41,0,0,0
8844783,merge.R,53,416,0,0,0
8845254,notin.R,3,28,0,0,0
8845296,onAttach.R,204,4,0,0,0
8845532,onLoad.R,382,310,0,0,0
8846226,openmp-utils.R,5,75,0,0,0
8846338,print.data.table.R,290,921,0,0,0
8847562,programming.R,37,197,0,0,0
8848041,setkey.R,310,1077,3,0,1
8849544,setops.R,192,1182,0,0,0
8850921,shift.R,24,180,0,0,0
8851126,tables.R,86,172,0,0,0
8851398,test.data.table.R,1091,891,0,0,0
8853036,timetaken.R,56,48,0,0,0
8853038,translation.R,37,47,0,0,0
8853235,transpose.R,66,303,0,0,0
8853449,uniqlist.R,1,36,0,0,0
8854027,utils.R,218,325,0,0,0
8854570,wrappers.R,10,65,1,0,0
8854646,xts.R,36,93,0,0,0
